ID,Campus,Situação no Curso,Modalidade,Curso,Ano/Semestre letivo da ocorrência,Série/Período da ocorrência,Principal motivo da ocorrência,Motivo terciário da ocorrência,Motivo secundário da ocorrência
1,CN,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade de transporte para a unidade de ensino
2,CN,Evadido,Licenciatura,Licenciatura em Química,2020.1,1,Falta de aptidão para o curso escolhido,Dificuldades de (re)adaptação à rotina escolar,Falta de identificação com o curso
3,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
4,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2018.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
5,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,6,Necessidade de trabalhar,Necessidade de trabalhar,Falta de docentes em algumas disciplinas
6,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,6,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
7,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,6,Necessidade de trabalhar,Necessidade de trabalhar,Necessidade de trabalhar
8,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,2,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar,Necessidade de trabalhar
9,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2020.1,2,Dificuldade de transporte para a unidade de ensino,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar
10,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2021.1,2,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
11,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2019.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho
12,CN,Trancado,Tecnologia,Tecnologia em Sistemas para Internet,2021.1,2,Falta de identificação com o curso,Falta de identificação com o curso,Falta de identificação com o curso
13,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2021.1,1,Dificuldade em conciliar estudo e trabalho,Dificuldade em conciliar estudo e trabalho,Necessidade de trabalhar
14,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica de Docentes para a Educação Profissional e Tecnológica,2020.2,1,Dificuldade em planejar a própria vida e estabelecer metas de desenvolvimento pessoal,"Dificuldades de adaptação à modalidade da educação profissional (número e conteúdo das disciplinas, interdisciplinaridade)",Dificuldade em conciliar os estudos com outros cursos
15,LAJ,Evadido,Técnico Subsequente,Técnico em Administração,2019.1,1,Problema de saúde pessoal ou de familiar,Dificuldade em conciliar estudo e trabalho,Falta de recursos financeiros para transporte escolar
16,CN,Evadido,Tecnologia,Técnico em Informática para Internet,2022.2,1,Dificuldade em conciliar os estudos com outros cursos,Dificuldade de aprendizagem,Dificuldade de acompanhamento do curso devido ao longo tempo de afastamento do sistema formal de ensino
17,CN,Evadido,Tecnologia,Tecnologia em Sistemas para Internet,2022.1,1,Falta de recursos financeiros para transporte escolar,Necessidade de trabalhar,Dificuldade em conciliar os estudos com outros cursos
18,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2018.2,2,Mudança de interesse profissional ou pessoal,Falta de apoio da família no processo ensino-aprendizagem,Dificuldade em conciliar os estudos com outros cursos
19,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2018.1,1,Indisponibilidade de tempo para estudar fora do horário de aulas ou para participar de atividades de nivelamento e monitoria,Defasagem de conhecimentos anteriores ao ingresso no curso,Dificuldades de (re)adaptação à rotina escolar
20,ZL,Evadido,Licenciatura,Licenciatura em Formação Pedagógica para Graduados não Licenciados (em Rede),2019.1,2,Dificuldade em conciliar estudo e trabalho,,Falta de recursos financeiros para transporte escolar
21,PF,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Dificuldade em conciliar estudo e trabalho,Mudança de turno de trabalho,Necessidade de trabalhar
22,PF,Evadido,Licenciatura,Licenciatura em Química,2021.1,1,Problema de saúde pessoal ou de familiar,Problema de saúde pessoal ou de familiar,Necessidade de cuidar de familiar no horário do curso
